Department,FullTimePartTime,Tenure,ManagementLevel,HiltonCSR,WellInformed,JobSatisfaction,RewardsJustice,GenX,Millennial,GenZ,MCPaysat,all_eng,all_workenv,all_treat,all_adeq,all_reward,all_learn,all_wrklfe,all_mgt,ClearJobExpectations,IntentToStayHighLow
28,4.0,4.0,2,5.0,4.0,3.0,4.0,0,1,0,-0.6200000000000001,4.1,4.428571428571429,4.75,3.5,4.0,5.0,4.0,4.25,4.5,0
21,4.0,2.0,2,4.0,5.0,5.0,5.0,1,0,0,1.38,4.8,4.357142857142857,4.75,5.0,5.0,4.75,5.0,4.875,5.0,1
31,3.0,8.0,3,5.0,4.0,5.0,4.0,0,0,0,1.38,4.8,4.428571428571429,2.25,4.5,5.0,4.25,3.5,4.0,4.0,1
10,3.0,8.0,3,4.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
21,3.0,8.0,3,4.0,4.0,4.0,4.0,1,0,0,0.3799999999999999,4.0,4.142857142857143,4.25,4.0,4.0,4.5,4.0,4.625,4.5,0
21,3.0,7.0,3,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
5,3.0,4.0,3,5.0,4.0,4.0,4.0,0,1,0,-1.62,3.2,3.5714285714285716,2.75,3.5,3.0,3.25,3.5,3.75,3.0,0
30,5.0,7.0,3,3.0,4.0,3.0,3.0,1,0,0,-2.62,4.1,3.7857142857142856,3.75,4.0,2.0,4.625,2.0,4.25,5.0,0
15,4.0,5.0,2,4.0,4.0,4.0,3.0,0,1,0,-0.6200000000000001,3.3,3.357142857142857,3.5,3.0,4.0,3.5,3.5,3.625,2.5,0
13,3.0,7.0,4,5.0,5.0,5.0,5.0,0,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
21,3.0,8.0,4,4.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.0,4.0,4.0,4.0,4.0,3.625,4.5,4.0,4.0,0
20,4.0,7.0,2,5.0,5.0,5.0,5.0,1,0,0,1.38,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
28,4.0,7.0,1,5.0,5.0,5.0,4.0,1,0,0,0.3799999999999999,5.0,4.642857142857143,5.0,5.0,3.0,5.0,4.0,4.625,4.5,0
21,4.0,3.0,2,4.0,4.0,4.0,4.0,0,1,0,1.38,4.8,4.714285714285714,4.75,4.0,4.0,4.5,5.0,4.75,5.0,1
5,3.0,7.0,4,4.0,4.0,4.0,4.0,1,0,0,0.3799999999999999,3.6,2.5714285714285716,3.25,3.0,4.0,2.625,3.5,2.375,3.0,0
21,3.0,8.0,2,3.0,4.0,3.0,3.0,1,0,0,-0.6200000000000001,3.3,4.0,4.0,4.0,3.0,3.375,4.0,3.875,4.0,0
13,3.0,8.0,2,4.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.0,3.7142857142857144,3.5,3.0,4.0,3.1875,4.0,3.25,4.0,0
21,3.0,8.0,3,4.0,4.0,4.0,4.0,0,0,0,0.3799999999999999,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0
34,4.0,4.0,1,4.0,4.0,4.0,3.0,1,0,0,-0.6200000000000001,4.0,4.0,4.0,4.0,2.5,4.0,4.0,4.0,4.0,0
16,5.0,2.0,3,3.0,3.0,3.0,3.0,0,1,0,-0.6200000000000001,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
29,3.0,2.0,3,5.0,5.0,5.0,5.0,1,0,0,-2.62,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
16,4.0,6.0,2,4.0,4.0,3.0,5.0,0,1,0,0.3799999999999999,4.6,4.642857142857143,4.5,5.0,4.0,5.0,2.5,4.625,4.5,1
